i j val index mp formula
1 6 10.0 6 mp-3700 LiYF4
2 6 -10.0 6 mp-3700 LiYF4
1 4 4.0 27 mp-755570 Li(NiS)2
2 4 -4.0 27 mp-755570 Li(NiS)2
5 6 4.0 27 mp-755570 Li(NiS)2
1 4 -2.0 31 mp-764698 LiVF3
2 4 2.0 31 mp-764698 LiVF3
5 6 -2.0 31 mp-764698 LiVF3
1 4 27.0 36 mp-769726 Li3(FeO2)4
2 4 -27.0 36 mp-769726 Li3(FeO2)4
5 6 27.0 36 mp-769726 Li3(FeO2)4
1 4 -17.0 37 mp-769789 LiFe2O3
2 4 17.0 37 mp-769789 LiFe2O3
5 6 -17.0 37 mp-769789 LiFe2O3
1 4 28.0 44 mp-775097 Li2CoO2
2 4 -28.0 44 mp-775097 Li2CoO2
5 6 28.0 44 mp-775097 Li2CoO2
