i j mp formula
1 1 mp-51 Li
1 2 mp-51 Li
1 3 mp-51 Li
2 1 mp-51 Li
2 2 mp-51 Li
2 3 mp-51 Li
3 1 mp-51 Li
3 2 mp-51 Li
3 3 mp-51 Li
4 4 mp-51 Li
5 5 mp-51 Li
6 6 mp-51 Li
1 1 mp-135 Li
1 2 mp-135 Li
1 3 mp-135 Li
2 1 mp-135 Li
2 2 mp-135 Li
2 3 mp-135 Li
3 1 mp-135 Li
3 2 mp-135 Li
3 3 mp-135 Li
4 4 mp-135 Li
5 5 mp-135 Li
6 6 mp-135 Li
1 1 mp-567337 Li
1 2 mp-567337 Li
1 3 mp-567337 Li
2 1 mp-567337 Li
2 2 mp-567337 Li
2 3 mp-567337 Li
3 1 mp-567337 Li
3 2 mp-567337 Li
3 3 mp-567337 Li
4 4 mp-567337 Li
5 5 mp-567337 Li
6 6 mp-567337 Li
1 1 mp-22899 LiI
1 2 mp-22899 LiI
1 3 mp-22899 LiI
2 1 mp-22899 LiI
2 2 mp-22899 LiI
2 3 mp-22899 LiI
3 1 mp-22899 LiI
3 2 mp-22899 LiI
3 3 mp-22899 LiI
4 4 mp-22899 LiI
5 5 mp-22899 LiI
6 6 mp-22899 LiI
1 1 mp-23259 LiBr
1 2 mp-23259 LiBr
1 3 mp-23259 LiBr
2 1 mp-23259 LiBr
2 2 mp-23259 LiBr
2 3 mp-23259 LiBr
3 1 mp-23259 LiBr
3 2 mp-23259 LiBr
3 3 mp-23259 LiBr
4 4 mp-23259 LiBr
5 5 mp-23259 LiBr
6 6 mp-23259 LiBr
1 1 mp-30765 LiPt7
1 2 mp-30765 LiPt7
1 3 mp-30765 LiPt7
2 1 mp-30765 LiPt7
2 2 mp-30765 LiPt7
2 3 mp-30765 LiPt7
3 1 mp-30765 LiPt7
3 2 mp-30765 LiPt7
3 3 mp-30765 LiPt7
4 4 mp-30765 LiPt7
5 5 mp-30765 LiPt7
6 6 mp-30765 LiPt7
1 1 mp-1934 LiZn
1 2 mp-1934 LiZn
1 3 mp-1934 LiZn
1 4 mp-1934 LiZn
2 1 mp-1934 LiZn
2 2 mp-1934 LiZn
2 3 mp-1934 LiZn
2 4 mp-1934 LiZn
3 1 mp-1934 LiZn
3 2 mp-1934 LiZn
3 3 mp-1934 LiZn
4 1 mp-1934 LiZn
4 2 mp-1934 LiZn
4 4 mp-1934 LiZn
5 5 mp-1934 LiZn
5 6 mp-1934 LiZn
6 5 mp-1934 LiZn
6 6 mp-1934 LiZn
1 1 mp-1646 Li3Hg
1 2 mp-1646 Li3Hg
1 3 mp-1646 Li3Hg
2 1 mp-1646 Li3Hg
2 2 mp-1646 Li3Hg
2 3 mp-1646 Li3Hg
3 1 mp-1646 Li3Hg
3 2 mp-1646 Li3Hg
3 3 mp-1646 Li3Hg
4 4 mp-1646 Li3Hg
5 5 mp-1646 Li3Hg
6 6 mp-1646 Li3Hg
1 1 mp-2286 Li2Se
1 2 mp-2286 Li2Se
1 3 mp-2286 Li2Se
2 1 mp-2286 Li2Se
2 2 mp-2286 Li2Se
2 3 mp-2286 Li2Se
3 1 mp-2286 Li2Se
3 2 mp-2286 Li2Se
3 3 mp-2286 Li2Se
4 4 mp-2286 Li2Se
5 5 mp-2286 Li2Se
6 6 mp-2286 Li2Se
1 1 mp-976254 Li3Mg
1 2 mp-976254 Li3Mg
1 3 mp-976254 Li3Mg
2 1 mp-976254 Li3Mg
2 2 mp-976254 Li3Mg
2 3 mp-976254 Li3Mg
3 1 mp-976254 Li3Mg
3 2 mp-976254 Li3Mg
3 3 mp-976254 Li3Mg
4 4 mp-976254 Li3Mg
5 5 mp-976254 Li3Mg
6 6 mp-976254 Li3Mg
1 1 mp-22905 LiCl
1 2 mp-22905 LiCl
1 3 mp-22905 LiCl
2 1 mp-22905 LiCl
2 2 mp-22905 LiCl
2 3 mp-22905 LiCl
3 1 mp-22905 LiCl
3 2 mp-22905 LiCl
3 3 mp-22905 LiCl
4 4 mp-22905 LiCl
5 5 mp-22905 LiCl
6 6 mp-22905 LiCl
1 1 mp-976256 Li3Mg
1 2 mp-976256 Li3Mg
1 3 mp-976256 Li3Mg
2 1 mp-976256 Li3Mg
2 2 mp-976256 Li3Mg
2 3 mp-976256 Li3Mg
3 1 mp-976256 Li3Mg
3 2 mp-976256 Li3Mg
3 3 mp-976256 Li3Mg
4 4 mp-976256 Li3Mg
5 5 mp-976256 Li3Mg
6 6 mp-976256 Li3Mg
1 1 mp-1009009 LiF
1 2 mp-1009009 LiF
1 3 mp-1009009 LiF
2 1 mp-1009009 LiF
2 2 mp-1009009 LiF
2 3 mp-1009009 LiF
3 1 mp-1009009 LiF
3 2 mp-1009009 LiF
3 3 mp-1009009 LiF
4 4 mp-1009009 LiF
5 5 mp-1009009 LiF
6 6 mp-1009009 LiF
1 1 mp-30764 LiPt2
1 2 mp-30764 LiPt2
1 3 mp-30764 LiPt2
2 1 mp-30764 LiPt2
2 2 mp-30764 LiPt2
2 3 mp-30764 LiPt2
3 1 mp-30764 LiPt2
3 2 mp-30764 LiPt2
3 3 mp-30764 LiPt2
4 4 mp-30764 LiPt2
5 5 mp-30764 LiPt2
6 6 mp-30764 LiPt2
1 1 mp-11644 Li2Ca
1 2 mp-11644 Li2Ca
1 3 mp-11644 Li2Ca
2 1 mp-11644 Li2Ca
2 2 mp-11644 Li2Ca
2 3 mp-11644 Li2Ca
3 1 mp-11644 Li2Ca
3 2 mp-11644 Li2Ca
3 3 mp-11644 Li2Ca
4 4 mp-11644 Li2Ca
5 5 mp-11644 Li2Ca
6 6 mp-11644 Li2Ca
1 1 mp-1437 LiCd
1 2 mp-1437 LiCd
1 3 mp-1437 LiCd
2 1 mp-1437 LiCd
2 2 mp-1437 LiCd
2 3 mp-1437 LiCd
3 1 mp-1437 LiCd
3 2 mp-1437 LiCd
3 3 mp-1437 LiCd
4 4 mp-1437 LiCd
5 5 mp-1437 LiCd
6 6 mp-1437 LiCd
1 1 mp-10890 LiAl3
1 2 mp-10890 LiAl3
1 3 mp-10890 LiAl3
2 1 mp-10890 LiAl3
2 2 mp-10890 LiAl3
2 3 mp-10890 LiAl3
3 1 mp-10890 LiAl3
3 2 mp-10890 LiAl3
3 3 mp-10890 LiAl3
4 4 mp-10890 LiAl3
5 5 mp-10890 LiAl3
6 6 mp-10890 LiAl3
1 1 mp-567395 Li15Au4
1 2 mp-567395 Li15Au4
1 3 mp-567395 Li15Au4
2 1 mp-567395 Li15Au4
2 2 mp-567395 Li15Au4
2 3 mp-567395 Li15Au4
3 1 mp-567395 Li15Au4
3 2 mp-567395 Li15Au4
3 3 mp-567395 Li15Au4
4 4 mp-567395 Li15Au4
5 5 mp-567395 Li15Au4
6 6 mp-567395 Li15Au4
1 1 mp-976023 Li3Ga
1 2 mp-976023 Li3Ga
1 3 mp-976023 Li3Ga
2 1 mp-976023 Li3Ga
2 2 mp-976023 Li3Ga
2 3 mp-976023 Li3Ga
3 1 mp-976023 Li3Ga
3 2 mp-976023 Li3Ga
3 3 mp-976023 Li3Ga
4 4 mp-976023 Li3Ga
5 5 mp-976023 Li3Ga
6 6 mp-976023 Li3Ga
1 1 mp-1138 LiF
1 2 mp-1138 LiF
1 3 mp-1138 LiF
2 1 mp-1138 LiF
2 2 mp-1138 LiF
2 3 mp-1138 LiF
3 1 mp-1138 LiF
3 2 mp-1138 LiF
3 3 mp-1138 LiF
4 4 mp-1138 LiF
5 5 mp-1138 LiF
6 6 mp-1138 LiF
1 1 mp-23703 LiH
1 2 mp-23703 LiH
1 3 mp-23703 LiH
2 1 mp-23703 LiH
2 2 mp-23703 LiH
2 3 mp-23703 LiH
3 1 mp-23703 LiH
3 2 mp-23703 LiH
3 3 mp-23703 LiH
4 4 mp-23703 LiH
5 5 mp-23703 LiH
6 6 mp-23703 LiH
1 1 mp-11248 LiAu3
1 2 mp-11248 LiAu3
1 3 mp-11248 LiAu3
2 1 mp-11248 LiAu3
2 2 mp-11248 LiAu3
2 3 mp-11248 LiAu3
3 1 mp-11248 LiAu3
3 2 mp-11248 LiAu3
3 3 mp-11248 LiAu3
4 4 mp-11248 LiAu3
5 5 mp-11248 LiAu3
6 6 mp-11248 LiAu3
1 1 mp-569849 Li15Si4
1 2 mp-569849 Li15Si4
1 3 mp-569849 Li15Si4
2 1 mp-569849 Li15Si4
2 2 mp-569849 Li15Si4
2 3 mp-569849 Li15Si4
3 1 mp-569849 Li15Si4
3 2 mp-569849 Li15Si4
3 3 mp-569849 Li15Si4
4 4 mp-569849 Li15Si4
5 5 mp-569849 Li15Si4
6 6 mp-569849 Li15Si4
1 1 mp-1153 Li2S
1 2 mp-1153 Li2S
1 3 mp-1153 Li2S
2 1 mp-1153 Li2S
2 2 mp-1153 Li2S
2 3 mp-1153 Li2S
3 1 mp-1153 Li2S
3 2 mp-1153 Li2S
3 3 mp-1153 Li2S
4 4 mp-1153 Li2S
5 5 mp-1153 Li2S
6 6 mp-1153 Li2S
1 1 mp-11489 Li3Pd
1 2 mp-11489 Li3Pd
1 3 mp-11489 Li3Pd
2 1 mp-11489 Li3Pd
2 2 mp-11489 Li3Pd
2 3 mp-11489 Li3Pd
3 1 mp-11489 Li3Pd
3 2 mp-11489 Li3Pd
3 3 mp-11489 Li3Pd
4 4 mp-11489 Li3Pd
5 5 mp-11489 Li3Pd
6 6 mp-11489 Li3Pd
1 1 mp-2743 LiPd
1 2 mp-2743 LiPd
1 3 mp-2743 LiPd
2 1 mp-2743 LiPd
2 2 mp-2743 LiPd
2 3 mp-2743 LiPd
3 1 mp-2743 LiPd
3 2 mp-2743 LiPd
3 3 mp-2743 LiPd
4 4 mp-2743 LiPd
5 5 mp-2743 LiPd
6 6 mp-2743 LiPd
1 1 mp-934 LiTl
1 2 mp-934 LiTl
1 3 mp-934 LiTl
2 1 mp-934 LiTl
2 2 mp-934 LiTl
2 3 mp-934 LiTl
3 1 mp-934 LiTl
3 2 mp-934 LiTl
3 3 mp-934 LiTl
4 4 mp-934 LiTl
5 5 mp-934 LiTl
6 6 mp-934 LiTl
